slope_2_100,intercept_2_100,slope_91_100,disC_2,disC_max_2,disC_100,battery,RuL_0.88Ah
0.2151537882482138,-0.4793361009553497,0.2958338566109754,-0.4254546557499293,-0.243474226634492,-0.106865528231649,b3c0,1007.0
0.2405062983690147,-1.13556838866076,0.3247647633362827,-1.0597341475273283,-0.4903107942155331,-0.4928468359734925,b3c10,1076.0
0.1033807856030365,-0.4714948000697073,0.2076811646945759,-0.3863517286931978,-0.8526351219286146,-0.1875249987920132,b3c11,815.0
0.205528713832926,0.1681318603551341,0.3843847923185686,0.2816959131732344,-0.7483370871380365,0.3004000860827593,b3c12,930.0
0.1543322605373356,-0.6237150127197254,0.2010805685694631,-0.6097839970645276,-0.1456360592220751,-0.2539452790986506,b3c13,814.0
0.3075248198567819,0.1772495848615063,0.3769352915278955,0.1933653956264707,0.3782567745479885,0.3568671069036158,b3c14,856.0
0.1650374470728104,-0.4303102325933536,0.2611648388184049,-0.3409818848355637,-0.7486496944765083,-0.1141705274261837,b3c15,874.0
0.2040857220379263,-1.213393294965962,0.2934182720017821,-1.1523251938458468,-0.3995596902370364,-0.569657954334657,b3c16,1636.0
0.2193605250785751,-0.8380556026894288,0.3516397063524881,-0.6295441774950113,-1.451742320647538,-0.3129454279157073,b3c17,1313.0
0.017794468749626,-0.5214915970361699,0.2053347186873168,-0.4098699153606761,-1.202240078718238,-0.2678089465117156,b3c18,1144.0
0.0091394410632807,-0.1032754594113013,0.2121120661302496,0.0195276528598586,-1.2520899794513014,-0.012114290529848,b3c19,1153.0
0.1493330543597223,-0.7298929019334814,0.277926593596173,-0.6799585635536595,-0.4130894541643464,-0.3042452813231909,b3c1,1061.0
0.1984569881622749,-0.7855580100044081,0.2945423975715261,-0.7035314556005855,-0.6247848380967148,-0.3062229380298376,b3c20,811.0
-1.1443146853371002,-0.5560162889146242,-0.6245611952189544,-0.485448198681629,-1.9814422699257423,-1.1561949765666608,b3c21,770.0
0.1213602027402581,-1.7398903929664735,0.2945972220809554,-1.6668083164707168,-0.8189909860950859,-0.9431552333634484,b3c22,1000.0
0.3477013422710865,-2.7104982961753823,0.3316128440573306,-2.698938432515725,0.2626501669821461,-1.399756285754835,b3c24,823.0
0.3267789544343163,-1.1446904763662331,0.3242812406132836,-1.1026681261054667,0.0931475349614194,-0.4437699280585619,b3c25,987.0
0.2587615131579269,0.0045800906639701,0.290455919243976,0.0798322947142383,-0.3119928222523644,0.2219871578456775,b3c26,1026.0
0.2278959476244717,-1.2077849669413472,0.271858685051304,-1.1711618778955175,-0.2102276691681657,-0.556852789442856,b3c27,848.0
-1.4821795450191793,-2.234214286235157,-1.0925378626744988,-2.2276332328642896,-2.0065452944825526,-2.484548277355336,b3c28,539.0
0.2945337864156305,-0.5169177504278585,0.2287641931671149,-0.5124088635883559,0.3839731098762881,-0.0966564174744545,b3c29,856.0
0.2336775200206577,-0.3489996098236977,0.3305278592380227,-0.2789422784621275,-0.3897484330724783,-0.0089245012986417,b3c30,933.0
0.1837906066437189,-0.415773231765113,0.2934548525789834,-0.3507696467734893,-0.4350259801841903,-0.0887685252600302,b3c31,729.0
0.1489916576836708,-1.3254421179291085,0.2455774478486071,-1.236691361935489,-0.8802472483482313,-0.6776548133777163,b3c33,1282.0
0.0815197154332909,-1.1689105121955905,0.1939687573901243,-1.0959408751877606,-0.8429401892279896,-0.6322663452244992,b3c34,1156.0
0.0883658239069515,-1.0354780594068915,0.2885786243609757,-0.9196102457463738,-1.1529410769590742,-0.5271115957196554,b3c35,1091.0
0.0664097025311278,-1.576227849462201,0.2144443128337504,-1.527454179672436,-0.6869444323285052,-0.8921210493358722,b3c36,921.0
0.1501453962900547,-1.0565589889382934,0.3080734186309977,-0.9583909280009282,-0.8707977512483062,-0.4995099551222173,b3c3,1113.0
0.1935055070597315,-1.26324614918018,0.2347004462062263,-1.2756538125320678,0.0966626738420044,-0.6188569561285759,b3c40,794.0
0.3464626486032073,-2.285303791313425,0.3582188561834318,-2.2552295971713385,0.1302992561084996,-1.1309445210310307,b3c41,784.0
0.2819714740058592,-0.613154041472494,0.4192527210863994,-0.5082576872528038,-0.5420259133471556,-0.1310201961822268,b3c42,1640.0
0.2888141928878101,-0.2549419021450194,0.3263584314513474,-0.1437444794808556,-0.6124037421109788,0.0915788800906367,b3c43,1044.0
0.3009198014720648,-0.2159268165034972,0.3637639967980599,-0.1704070359137618,0.0472739936744963,0.1174103222808817,b3c44,938.0
0.2556535786108666,-0.3818176863069381,0.386156057403706,-0.2480227613762698,-0.8100243035978938,-0.0063328264147189,b3c45,1799.0
0.215619373690427,-0.0316621978498366,0.3401580610433516,0.0887773107347304,-0.7643397460407276,0.1810995500269415,b3c4,1046.0
0.1234503365300764,-2.279475745001185,0.2558087075047135,-2.1957895346640064,-0.9894782583311365,-1.2798272996797675,b3c5,826.0
-1.510711181240832,-1.2201305162952996,-0.9012621459040604,-1.0893754710358083,-2.013200593846268,-1.831999972612784,b3c6,665.0
0.2693362491379445,-0.5322501412095868,0.4460377326054939,-0.443173158181157,-0.3667606469646088,-0.0882468348664827,b3c7,1834.0
0.2321362000128706,-0.7469532806467357,0.2763528585859462,-0.7088326149333718,-0.173263131159795,-0.2680487167459231,b3c8,826.0
0.2727756227700629,-0.2480760979315535,0.4368409637833567,-0.1863722455067409,-0.2328498457479729,0.089601786157097,b3c9,1037.0
